cardCount,name,symbol,logo,id
"{'total': 101, 'official': 101}",Dragon Frontiers,https://assets.tcgdex.net/univ/ex/ex15/symbol,https://assets.tcgdex.net/en/ex/ex15/logo,ex15
"{'total': 108, 'official': 108}",Power Keepers,https://assets.tcgdex.net/univ/ex/ex16/symbol,https://assets.tcgdex.net/en/ex/ex16/logo,ex16
"{'total': 17, 'official': 17}",POP Series 5,https://assets.tcgdex.net/univ/pop/pop5/symbol,https://assets.tcgdex.net/en/pop/pop5/logo,pop5
"{'total': 56, 'official': 56}",DP Black Star Promos,https://assets.tcgdex.net/univ/dp/dpp/symbol,https://assets.tcgdex.net/en/dp/dpp/logo,dpp
"{'total': 130, 'official': 130}",Diamond & Pearl,https://assets.tcgdex.net/univ/dp/dp1/symbol,https://assets.tcgdex.net/en/dp/dp1/logo,dp1
"{'total': 124, 'official': 122}",Mysterious Treasures,https://assets.tcgdex.net/univ/dp/dp2/symbol,https://assets.tcgdex.net/en/dp/dp2/logo,dp2
"{'total': 12, 'official': 12}",DP trainer Kit (Manaphy),https://assets.tcgdex.net/univ/tk/tk-dp-m/symbol,,tk-dp-m
"{'total': 12, 'official': 12}",DP trainer Kit (Lucario),https://assets.tcgdex.net/univ/tk/tk-dp-l/symbol,,tk-dp-l
"{'total': 17, 'official': 17}",POP Series 6,https://assets.tcgdex.net/univ/pop/pop6/symbol,https://assets.tcgdex.net/en/pop/pop6/logo,pop6
"{'total': 132, 'official': 132}",Secret Wonders,https://assets.tcgdex.net/univ/dp/dp3/symbol,https://assets.tcgdex.net/en/dp/dp3/logo,dp3
"{'total': 106, 'official': 106}",Great Encounters,https://assets.tcgdex.net/univ/dp/dp4/symbol,https://assets.tcgdex.net/en/dp/dp4/logo,dp4
"{'total': 17, 'official': 17}",POP Series 7,https://assets.tcgdex.net/univ/pop/pop7/symbol,https://assets.tcgdex.net/en/pop/pop7/logo,pop7
"{'total': 100, 'official': 100}",Majestic Dawn,https://assets.tcgdex.net/univ/dp/dp5/symbol,https://assets.tcgdex.net/en/dp/dp5/logo,dp5
"{'total': 146, 'official': 146}",Legends Awakened,https://assets.tcgdex.net/univ/dp/dp6/symbol,https://assets.tcgdex.net/en/dp/dp6/logo,dp6
"{'total': 17, 'official': 17}",POP Series 8,https://assets.tcgdex.net/univ/pop/pop8/symbol,https://assets.tcgdex.net/en/pop/pop8/logo,pop8
"{'total': 106, 'official': 100}",Stormfront,https://assets.tcgdex.net/univ/dp/dp7/symbol,https://assets.tcgdex.net/en/dp/dp7/logo,dp7
"{'total': 133, 'official': 127}",Platinum,https://assets.tcgdex.net/univ/pl/pl1/symbol,https://assets.tcgdex.net/en/pl/pl1/logo,pl1
"{'total': 17, 'official': 17}",POP Series 9,https://assets.tcgdex.net/univ/pop/pop9/symbol,https://assets.tcgdex.net/en/pop/pop9/logo,pop9
"{'total': 120, 'official': 111}",Rising Rivals,https://assets.tcgdex.net/univ/pl/pl2/symbol,https://assets.tcgdex.net/en/pl/pl2/logo,pl2
"{'total': 153, 'official': 147}",Supreme Victors,https://assets.tcgdex.net/univ/pl/pl3/symbol,https://assets.tcgdex.net/en/pl/pl3/logo,pl3
"{'total': 111, 'official': 99}",Arceus,https://assets.tcgdex.net/univ/pl/pl4/symbol,https://assets.tcgdex.net/en/pl/pl4/logo,pl4
"{'total': 16, 'official': 16}",Pokémon Rumble,https://assets.tcgdex.net/univ/pl/ru1/symbol,https://assets.tcgdex.net/en/pl/ru1/logo,ru1
"{'total': 124, 'official': 123}",HeartGold SoulSilver,https://assets.tcgdex.net/univ/hgss/hgss1/symbol,https://assets.tcgdex.net/en/hgss/hgss1/logo,hgss1
"{'total': 25, 'official': 25}",HGSS Black Star Promos,https://assets.tcgdex.net/univ/hgss/hgssp/symbol,https://assets.tcgdex.net/en/hgss/hgssp/logo,hgssp
"{'total': 30, 'official': 30}",HS trainer Kit (Raichu),https://assets.tcgdex.net/univ/tk/tk-hs-r/symbol,,tk-hs-r
"{'total': 30, 'official': 30}",HS trainer Kit (Gyarados),https://assets.tcgdex.net/univ/tk/tk-hs-g/symbol,,tk-hs-g
"{'total': 96, 'official': 95}",Unleashed,https://assets.tcgdex.net/univ/hgss/hgss2/symbol,https://assets.tcgdex.net/en/hgss/hgss2/logo,hgss2
"{'total': 91, 'official': 90}",Undaunted,https://assets.tcgdex.net/univ/hgss/hgss3/symbol,https://assets.tcgdex.net/en/hgss/hgss3/logo,hgss3
"{'total': 103, 'official': 102}",Triumphant,https://assets.tcgdex.net/univ/hgss/hgss4/symbol,https://assets.tcgdex.net/en/hgss/hgss4/logo,hgss4
"{'total': 106, 'official': 95}",Call of Legends,https://assets.tcgdex.net/univ/col/col1/symbol,https://assets.tcgdex.net/en/col/col1/logo,col1
"{'total': 115, 'official': 114}",Black & White,https://assets.tcgdex.net/univ/bw/bw1/symbol,https://assets.tcgdex.net/en/bw/bw1/logo,bw1
"{'total': 101, 'official': 101}",BW Black Star Promos,https://assets.tcgdex.net/univ/bw/bwp/symbol,https://assets.tcgdex.net/en/bw/bwp/logo,bwp
"{'total': 12, 'official': 12}",Macdonald's Collection 2011,,,2011bw
"{'total': 98, 'official': 98}",Emerging Powers,https://assets.tcgdex.net/univ/bw/bw2/symbol,https://assets.tcgdex.net/en/bw/bw2/logo,bw2
"{'total': 30, 'official': 30}",HS trainer Kit (Zoroark),,,tk-bw-z
"{'total': 30, 'official': 30}",HS trainer Kit (Excadrill),,,tk-bw-e
"{'total': 102, 'official': 101}",Noble Victories,https://assets.tcgdex.net/univ/bw/bw3/symbol,https://assets.tcgdex.net/en/bw/bw3/logo,bw3
